3|2.045519|SSDP(UDP)|NOTIFY * HTTP/1.1 |192.168.1.82:46433|255.255.255.255:1900|579|4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e3235352e3235303a313930300d0a43414348452d434f4e54524f4c3a206d61782d616765203d20313830300d0a4c4f434154494f4e3a20687474703a2f2f3139322e3136382e312e38323a313430302f786d6c2f6465766963655f6465736372697074696f6e2e786d6c0d0a4e543a2075726e3a736368656d61732d75706e702d6f72673a6465766963653a5a6f6e65506c617965723a310d0a4e54533a20737364703a616c6976650d0a5345525645523a204c696e75782055506e502f312e3020536f6e6f732f35362e302d373630363020285a50533134290d0a55534e3a20757569643a52494e434f4e5f39343946334544363532393030313430303a3a75726e3a736368656d61732d75706e702d6f72673a6465766963653a5a6f6e65506c617965723a310d0a582d52494e434f4e2d484f555345484f4c443a20536f6e6f735f375a314a3232566447787169624a65797558487567704a356d6e0d0a582d52494e434f4e2d424f4f545345513a2034310d0a582d52494e434f4e2d574946494d4f44453a20310d0a582d52494e434f4e2d56415249414e543a20320d0a484f555345484f4c442e534d415254535045414b45522e415544494f3a20536f6e6f735f375a314a3232566447787169624a65797558487567704a356d6e2e7764362d585f4368324b4f484b3330456c4876420d0a0d0a
4|2.045521|SSDP(UDP)|NOTIFY * HTTP/1.1 |192.168.1.82:46433|255.255.255.255:1900|529|4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e3235352e3235303a313930300d0a43414348452d434f4e54524f4c3a206d61782d616765203d20313830300d0a4c4f434154494f4e3a20687474703a2f2f3139322e3136382e312e38323a313430302f786d6c2f6465766963655f6465736372697074696f6e2e786d6c0d0a4e543a2075706e703a726f6f746465766963650d0a4e54533a20737364703a616c6976650d0a5345525645523a204c696e75782055506e502f312e3020536f6e6f732f35362e302d373630363020285a50533134290d0a55534e3a20757569643a52494e434f4e5f39343946334544363532393030313430303a3a75706e703a726f6f746465766963650d0a582d52494e434f4e2d484f555345484f4c443a20536f6e6f735f375a314a3232566447787169624a65797558487567704a356d6e0d0a582d52494e434f4e2d424f4f545345513a2034310d0a582d52494e434f4e2d574946494d4f44453a20310d0a582d52494e434f4e2d56415249414e543a20320d0a484f555345484f4c442e534d415254535045414b45522e415544494f3a20536f6e6f735f375a314a3232566447787169624a65797558487567704a356d6e2e7764362d585f4368324b4f484b3330456c4876420d0a0d0a
5|2.045521|SSDP(UDP)|M-SEARCH * HTTP/1.1 |192.168.1.82:59097|255.255.255.255:1900|275|4d2d534541524348202a20485454502f312e310d0a484f53543a203233392e3235352e3235352e3235303a313930300d0a4d414e3a2022737364703a646973636f766572220d0a4d583a20310d0a53543a2075726e3a736368656d61732d75706e702d6f72673a6465766963653a5a6f6e65506c617965723a310d0a555345522d4147454e543a204c696e75782055506e502f312e3020536f6e6f732f35362e302d373630363020285a50533134290d0a582d52494e434f4e2d484f555345484f4c443a20536f6e6f735f375a314a3232566447787169624a65797558487567704a356d6e0d0a0d0a
6|2.045522|SSDP(UDP)|M-SEARCH * HTTP/1.1 |192.168.1.82:59097|255.255.255.255:1900|253|4d2d534541524348202a20485454502f312e310d0a484f53543a203233392e3235352e3235352e3235303a313930300d0a4d414e3a2022737364703a646973636f766572220d0a4d583a20310d0a53543a2075726e3a736368656d61732d75706e702d6f72673a736572766963653a436f6e74656e744469726563746f72793a310d0a555345522d4147454e543a204c696e75782055506e502f312e3020536f6e6f732f35362e302d373630363020285a50533134290d0a582d52494e434f4e2d484f555345484f4c443a204e2f410d0a0d0a
7|8.268728|DHCP(UDP)|DHCP Request  - Transaction ID 0xe7340057|0.0.0.0:68|255.255.255.255:67|364|01010600e73400570000800000000000000000000000000000000000dcfb48a3711800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501033d0701dcfb48a371183204c0a801f40c0f4445534b544f502d4c4253554e4d4651120000004445534b544f502d4c4253554e4d463c084d53465420352e30370e0103060f1f212b2c2e2f7779f9fcff
11|8.295454|DHCP(UDP)|DHCP ACK      - Transaction ID 0xe7340057|192.168.1.254:67|255.255.255.255:68|391|02010600e73400570000800000000000c0a801f40000000000000000dcfb48a3711800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638253633501053604c0a801fe3304000151803a040000a8c03b04000127500104ffffff000304c0a801fe0604c0a801fe0f0c6174746c6f63616c2e6e65747d2900000de9240406303031453436050e5239315648394843313030383139060a4247573231302d3730300204ffffb9b0ff
20|8.329785|LLMNR(UDP)|Standard query 0xb5fe ANY DESKTOP-LBSUNMF|192.168.1.244:51408|224.0.0.252:5355|75|b5fe000000010000000000000f4445534b544f502d4c4253554e4d460000ff0001
22|8.331538|DNS(UDP)|Standard query 0x6f6d A wpad.attlocal.net|192.168.1.244:63592|192.168.1.254:53|77|6f6d010000010000000000000477706164086174746c6f63616c036e65740000010001
23|8.336085|DNS(UDP)|Standard query 0xe9c8 SRV _ldap._tcp.dc._msdcs.attlocal.net|192.168.1.244:50742|192.168.1.254:53|93|e9c801000001000000000000055f6c646170045f746370026463065f6d73646373086174746c6f63616c036e65740000210001
24|8.347822|DNS(UDP)|Standard query response 0xe9c8 No such name SRV _ldap._tcp.dc._msdcs.attlocal.net SOA localhost|192.168.1.254:53|192.168.1.244:50742|149|e9c885830001000000010000055f6c646170045f746370026463065f6d73646373086174746c6f63616c036e65740000210001c0210006000100000e10002c096c6f63616c686f7374000a706f73746d6173746572c03f777369b100000e100000070800093a8000000e10
25|8.349456|DNS(UDP)|Standard query 0xe2a9 SRV _ldap._tcp.dc._msdcs.attlocal.net|192.168.1.244:58145|192.168.1.254:53|93|e2a901000001000000000000055f6c646170045f746370026463065f6d73646373086174746c6f63616c036e65740000210001
26|8.354154|DNS(UDP)|Standard query 0x0eb0 A www.msftconnecttest.com|192.168.1.244:57954|192.168.1.254:53|83|0eb001000001000000000000037777770f6d736674636f6e6e6563747465737403636f6d0000010001
27|8.369132|DNS(UDP)|Standard query response 0xe2a9 No such name SRV _ldap._tcp.dc._msdcs.attlocal.net SOA localhost|192.168.1.254:53|192.168.1.244:58145|149|e2a985830001000000010000055f6c646170045f746370026463065f6d73646373086174746c6f63616c036e65740000210001c0210006000100000e10002c096c6f63616c686f7374000a706f73746d6173746572c03f777369b100000e100000070800093a8000000e10
28|8.369133|DNS(UDP)|Standard query response 0x0eb0 A www.msftconnecttest.com CNAME v4ncsi.msedge.net CNAME ncsi.4-c-0003.c-msedge.net CNAME 4-c-0003.c-msedge.net A 13.107.4.52|192.168.1.254:53|192.168.1.244:57954|181|0eb081800001000400000000037777770f6d736674636f6e6e6563747465737403636f6d0000010001c00c000500010000082900130676346e637369066d7365646765036e657400c03500050001000000230019046e63736908342d632d3030303308632d6d7365646765c043c05400050001000000230002c059c059000100010000002400040d6b0434
29|8.370852|TCP(TCP)|57890 \xe2\x86\x92 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1|192.168.1.244:57890|13.107.4.52:80|66|
30|8.381705|TCP(TCP)|80 \xe2\x86\x92 57890 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM=1|13.107.4.52:80|192.168.1.244:57890|66|
