2|0.050775|UDP(UDP)|63282 \xe2\x86\x92 443 Len=33|192.168.1.244:63282|172.253.127.189:443|75|5c4f8be752d1405c37008e9d3bb86a3d6a676e66fd5beae7123208749bec416125
3|0.092562|UDP(UDP)|443 \xe2\x86\x92 63282 Len=25|172.253.127.189:443|192.168.1.244:63282|67|559cac4ed44df9d076bfb3abd2d20499be77b6362e41687711
5|2.240931|UDP(UDP)|51277 \xe2\x86\x92 443 Len=1350|192.168.1.244:51277|172.217.6.174:443|1392|4c916d226e366832909bfdd78c0a67b0df12cf113877f5c2f5ece46ac3a33683080a9a603c03c4075cc5eca14e4e96da0fbb9fc64bdfb88f4c433040fd3cd0b4c96d69dd3e1f57b6432a236759a484d8792649f66f4ebf3e09b02296ea4db284e95219acf06a7a0cb88b149a969c04542e8ef1511ab3c2c8267b234f63686b5d951141ef9904deff02f5104bec63d02440cbc362f7bc19a52840e7032d1bae97c252e373be9d6ffc581cdc8610a93bb13a815d57d8f9b67d1a110e35f62d469b283cdef069a3d254ffeabb159793f13041423491f87eb6eae34f355b005abc11b5e9ee702d1487c17ebe5dcbbb1061a7e55bbb04c83c7aaea5dea3189be4f4512cb96c210bf1ec2710447a1f546bdeeda1b8e6cb390378c9c520e6bdfada5d50c7466b82fecad7b08f2ddfc288fa9724b4b5505a134e27f8da9f500a03328d2a38eb239ecf5b4a54b7d79dcc303017512a41d60a8ca3da0449ee4ad4727920d6dcd439f4f8e585187395b4ed42c5783f0915e073acf3191bea8a92c7bf2dc87a66cdfc517fdedb4ed2e79d99f1302383bad66f51618c8c47ba79a9791a81b2fa9ed354ba02f671c7f1904544ebe34f3a0fe18b8e4c0c19171081902bb5230facd32ce70f774ddd195eba59a8cc02bea4b238b001cb6eefb041e9603b6bafecfdbca857319efbdb23b91427817048e987d73d9c1fc7dd85173b6423f3168049c1de226a10613f0b1600b2d94b2446f4651085087424ee00e2ca805540e9b5a476ecda5358a62821f3e7e3a4ecda2bc5d7edfbc6886bd163c2f6568930b3cc95bc610dbd56b214cb4d1aae37abd0b05a3ac66b360274337bd24ce465cc3772f45aa629676b7a0be7bead82f8fba2776bdbca89b8cff72358047b63ce439184e2bd8c15a02ead083ab94b20fad1cc1acbc18b728fd88b380725206dc6a11cd06511ef8287d1c0704836e70933ec619681860a2a51d58ce113576d17da9bc20553d5bb26a904bca7704898787e773094174dc1217199e7b553013f439ea557b03a2276d06651140d77b5cd65bdcd22066e648bc13fc87439f34ef0757831015730d2805923499cea05c6d8ed149f07c7d51b058f9304684577404e100504df06b7db0bdb1eb0e4961464a2ad2032365c8df5ef725b15e7c9056e94e0541021d1f50081db4ef8ee7443defa53104bae534192d375af7c63392ca6551da76052bbf70f807c42e4bfaf418abc26efffe056e1c52f4276e368ac2c5ebc264eacb122f37f1224380e0c8864a55a7b70e2d4d3bd1f2832574ae990413f3804ac05162b41baf0674813b9560710acfe87a1b834ab43307f1fa606faf4141c7793c1616494d137c5ab8566a6a08397d9357ca2d155f7244d12b0120bd2b4d9691e5113e7337473fadc1a14939e0f02e5a19ef303da1fe68f13eb9b6da0c2bf3f5d597dbf656fa59be3f3392c4e9b5b780547081854b988e3d3ff76d9720b7eee2114f0d25ac375270e003f8cb4126bf507fc10ffc2650814ecf58514f2024921be82307093b9ee4799c28ae8defaeaa465e7fed3ca18e66327d0e132f28d13ce27ec3db9177b1c788e45224a4f668da0dc771b1c82cf281768a38440aacd3334ceec125294247854bb45be54328951e9af53cafad49f54bded7429b57a256357cc9aa87fc0bf6b00b78d1380e13fdf0ae33714b10579f5f3596dbeadc06eebe4cce07afa166d0254f9b841a103a47ec71b4305624ac55703f61fd4055738fe6554023822e20a3eead18e2ab7b458d587e3b2dbdf301e87ebed89243e5b8e88334484d1c03ab28d812ca6b50a1faab5e51fc7a147fd4251fc607902070f0127ee179f27542ae15995f41707a8f259941a99658408d429f61a03743c99e1040975285deab764d3ca68604f382a
6|2.241019|UDP(UDP)|51277 \xe2\x86\x92 443 Len=122|192.168.1.244:51277|172.217.6.174:443|164|46916d226e36683290b5b45b8bfd07bd642949119b1560c7816fdf5c52c8c25707a80afdfda00d13bc78d6b892ffc98e837c9e611055b34d5262859460146c549270a39115d871be62f332644baa2c40a1397eb628a4215f15efdedf81bda2d5794d51bf77fb7b5162ddec35773c9cbb49dae00fef7192d9d509
7|2.248436|DNS(UDP)|Standard query 0x25de A wpad.attlocal.net|192.168.1.244:59521|192.168.1.254:53|77|25de010000010000000000000477706164086174746c6f63616c036e65740000010001
8|2.256746|UDP(UDP)|443 \xe2\x86\x92 51277 Len=26|172.217.6.174:443|192.168.1.244:51277|68|4a1760811095d56dc3e11c23dbac5dc9573a25fa36cc23d33fe1
9|2.258548|DNS(UDP)|Standard query response 0x25de No such name A wpad.attlocal.net SOA localhost|192.168.1.254:53|192.168.1.244:59521|133|25de858300010000000100000477706164086174746c6f63616c036e65740000010001c0110006000100000e10002c096c6f63616c686f7374000a706f73746d6173746572c02f777369b100000e100000070800093a8000000e10
10|2.317311|UDP(UDP)|443 \xe2\x86\x92 51277 Len=254|172.217.6.174:443|192.168.1.244:51277|296|4ccbf7b2d038cd1ab8c84d5d30447b960433d7290d44836dc1eb344b51869010e49cbe58223a171afd5b0ba68eba8ac7cacaac3e41ef7e9ed3ff6965c41285474a5d9e5510b2fd206e4fc3d755179292fc68593cf7bbc57763beed79d341f37b0618c49bf058024527e3908bcc8c0e47e1683f3aad85e044e3e3e42b4eb58cde70ca2d8a934ffa730eee6d74947779697b467b9504df2c66f6c919734c07949e24b13bea3145d7b220790565c48b8fa64e423092752f9794973caf68b4f67d0ef23c7ce0d38c90755066a395c4547623aa2c37eb189e29609320037a21284a63229b3e760122045d0f9bd84e0d301e1c81d213276adcc7f27335930feaf1
11|2.318126|UDP(UDP)|443 \xe2\x86\x92 51277 Len=247|172.217.6.174:443|192.168.1.244:51277|289|469822e4e39f2d7f7f32304678809ce2e9a6c6c927af703b98dc6513e2a6908e165833ee56d0897db52c4ca3890d731d72e409e23963e73ff8ab10ae5c447fe37973ad54ed27bdb3f98502bcedb23335d9f675dab43ba604ebc52ee9e6cf3c4282d2808f07b2a945a0453c61558f13c173a10177a0d45dab62aea5ef22d65c4bd1dba9f0f008f2834e29469cb369d51af884e004dbef668de97bfc752d91f01e7cc2f85e18b41d3f6580fbcd88417a939850410e0d0b8c9fd506a88a4273b591fe7d9f1ccf616e13e648bbe36bd52894d800efb957fdd3b1429e945ae22a912e6b58f988a5285f984f769b3da2ced619a8e50d76ecef2c
12|2.320516|UDP(UDP)|51277 \xe2\x86\x92 443 Len=33|192.168.1.244:51277|172.217.6.174:443|75|45916d226e366832905ae9c4f711f8f69aeb7179b5c90249ec4937925c46f3a36b
18|6.258964|SSDP(UDP)|NOTIFY * HTTP/1.1 |192.168.1.82:46433|255.255.255.255:1900|526|4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e3235352e3235303a313930300d0a43414348452d434f4e54524f4c3a206d61782d616765203d20313830300d0a4c4f434154494f4e3a20687474703a2f2f3139322e3136382e312e38323a313430302f786d6c2f6465766963655f6465736372697074696f6e2e786d6c0d0a4e543a20757569643a52494e434f4e5f39343946334544363532393030313430300d0a4e54533a20737364703a616c6976650d0a5345525645523a204c696e75782055506e502f312e3020536f6e6f732f35362e302d373630363020285a50533134290d0a55534e3a20757569643a52494e434f4e5f39343946334544363532393030313430300d0a582d52494e434f4e2d484f555345484f4c443a20536f6e6f735f375a314a3232566447787169624a65797558487567704a356d6e0d0a582d52494e434f4e2d424f4f545345513a2034310d0a582d52494e434f4e2d574946494d4f44453a20310d0a582d52494e434f4e2d56415249414e543a20320d0a484f555345484f4c442e534d415254535045414b45522e415544494f3a20536f6e6f735f375a314a3232566447787169624a65797558487567704a356d6e2e7764362d585f4368324b4f484b3330456c4876420d0a0d0a
